rule_id,sbc_ref,detection_type,rule_text,cv_target,category,priority
PV-001,712:41-2.101,CONDITION,"Equipment on the DC side of PV installations (PV modules, distribution boards, cabinets) shall be Class II or equivalent insulation according to IEC 61140.",Class II or equivalent insulation marking on PV DC-side equipment,Photovoltaic,HIGH
PV-002,712:51-0.3,CONDITION,Equipment in outdoor PV locations shall have a degree of protection of at least IP44 and a degree of protection against external mechanical impact not less than IK07.,IP44 and IK07 rated equipment in outdoor PV installation,Photovoltaic,HIGH
PV-003,712:51-4.101,LABEL,"A sign indicating the presence of a photovoltaic installation shall be fixed at the origin of the electrical installation, at the metering position (if remote), and at the consumer unit/distribution board to which the PCE supply is connected.","PV installation warning sign at origin, meter position, and distribution board",Photovoltaic,HIGH
PV-004,712:51-4.102,LABEL,"Each point of access to live parts on the DC side (distribution boards, cabinets) shall have a permanent marking bearing the text 'SOLAR DC - Live parts can remain energized after isolation'.",Permanent 'SOLAR DC - Live parts can remain energized' marking on DC-side access points,Photovoltaic,HIGH
PV-005,712:51-4.106.1,LABEL,Disconnection devices shall be marked with an identification name or number according to the PV array wiring diagram. All switches shall have the ON and OFF positions clearly indicated.,Identification label and ON/OFF position indicator on PV disconnection devices,Photovoltaic,HIGH
PV-006,712:51-4.106.2,LABEL,"The PV array DC switch disconnector shall be identified by a sign affixed in a prominent location adjacent to the switch disconnector. Where multiple disconnection devices are not ganged, signage shall warn of multiple DC sources.",Identification sign adjacent to PV array DC switch disconnector,Photovoltaic,HIGH
PV-007,712:51-4.2,COLOR,The identification of AC and DC circuits shall be such that they are clearly distinguishable from each other (e.g. by labels or different colored cables).,Distinguishable AC and DC circuit cables (different colors or labels),Photovoltaic,HIGH
PV-008,712:4.102,COLOR,A cable used for functional earthing in PV installations shall not be identified by the color combination green and yellow. It is recommended to use the color pink.,"Functional earthing conductor in PV (pink color, not green-yellow)",Photovoltaic,MEDIUM
PV-009,712:52-6,ABSENCE,Plugs and socket-outlets normally used for the connection of household equipment to low voltage AC power shall not be used in PV arrays.,Absence of standard household AC plugs/sockets in PV array,Photovoltaic,HIGH
PV-010,712:52-6.101,CONDITION,"Connectors on the DC side of PV installations shall be especially suitable for the DC side. Connectors accessible to non-skilled persons shall be disconnectable only by key or tool, or installed within a lockable enclosure.",PV DC-specific connector with key/tool lock or in lockable enclosure,Photovoltaic,HIGH
PV-011,712:52-6.102,CONDITION,"Where conductors enter a PV combiner box without conduit, a tension relief arrangement (e.g. gland connector) shall be used. All cable entries shall maintain the IP rating of the enclosure.",Tension relief/gland connector at PV combiner box cable entries maintaining IP rating,Photovoltaic,MEDIUM
PV-012,712:51-4.103,LABEL,"All PCEs should bear a marking indicating that, before any servicing operation, the PCE shall be isolated from all supplies.",Isolation warning marking on PCE (power conditioning equipment),Photovoltaic,MEDIUM
SN-001,703:51-2.2,CONDITION,"Equipment in sauna rooms shall have at least IP24 degree of protection. If cleaning by water jets may be expected, equipment shall be at least IPX5.",IP24 (or IPX5) rated equipment in sauna room,Sauna,HIGH
SN-002,703:53-6.5,ABSENCE,Socket-outlets shall not be erected within the location containing the sauna heater.,Absence of socket-outlets inside sauna room,Sauna,HIGH
SN-003,703:53-6.5,POSITION,Switchgear and controlgear for lighting (not part of sauna heater) shall be placed outside the sauna room or cabin.,Switchgear and controlgear for sauna lighting mounted outside sauna room,Sauna,HIGH
SN-004,703:52-2,CONDITION,Metallic sheaths and metallic conduits in sauna rooms shall not be accessible in normal use.,Inaccessible metallic sheaths/conduits in sauna room,Sauna,MEDIUM
CS-001,704:53-6.2.2,CONDITION,"Each assembly for construction sites (ACS) shall incorporate devices for isolating the incoming supply, suitable for securing in the off position (e.g. padlocking facility or lockable enclosure).",Lockable isolation device (padlock facility) on construction site assembly,Construction Site,HIGH
CS-002,704:52-2.8.101,CONDITION,"Cables should not be run across site roads or walkways. Where necessary, special protection against mechanical damage shall be provided.",Mechanical protection for cables crossing construction site roads/walkways,Construction Site,MEDIUM
AG-001,705:51-2.2,CONDITION,"In agricultural or horticultural premises, electrical equipment shall have a minimum degree of protection of IP44. Where IP44 is not available, equipment shall be placed in an IP44-complying enclosure.",IP44 rated electrical equipment or enclosure in agricultural premises,Agricultural,HIGH
AG-002,705:51-3.2,POSITION,Electrical equipment generally shall be inaccessible to livestock. Equipment unavoidably accessible shall be adequately constructed and installed to avoid damage by and minimize risk of injury to livestock.,Electrical equipment positioned inaccessible to livestock or livestock-proof,Agricultural,HIGH
AG-003,705:42-2.6,SPACING,Radiant heaters in agricultural premises shall be installed at a distance of at least 0.5m from livestock and from combustible material unless a greater distance is specified by the manufacturer.,Radiant heater minimum 0.5m from livestock and combustible material in agricultural premises,Agricultural,MEDIUM
AG-004,705:53,LABEL,Only electrical heating appliances with visual indication of the operating position shall be used in agricultural premises.,Visual ON/OFF position indicator on electrical heating appliances in agricultural premises,Agricultural,MEDIUM
AG-005,705:53-6.2,LABEL,Isolation devices in agricultural premises shall be marked according to the part of the installation to which they belong. Devices for isolation and emergency stopping shall not be accessible to livestock.,Labeled isolation device in agricultural premises inaccessible to livestock,Agricultural,MEDIUM
AG-006,705:51-4.4.3,LABEL,"A plan indicating the location of all electrical equipment, the routing of all concealed cables, a single line distribution diagram, and an equipotential bonding diagram shall be provided to the user of the installation.",Installation documentation/diagrams provided to user in agricultural premises,Agricultural,MEDIUM
AG-007,705:55-9,LABEL,"In areas with fire risk and combustible dust coating, only luminaires marked in accordance with IEC 60598-2-24 (limited surface temperature) shall be used. Luminaires marked with 'not suitable for normally flammable surfaces' shall have IP54.",IEC 60598-2-24 marked luminaire (limited surface temperature) in agricultural fire risk area,Agricultural,MEDIUM
CR-001,706:41-4.3.101,POSITION,"Sources for SELV and PELV in conducting locations with restricted movement shall be situated outside the conducting location, unless they are part of the fixed installation within the location.",SELV/PELV source positioned outside conducting location with restricted movement,Confined/Restricted,MEDIUM
CR-002,706:41-3.3.2,POSITION,The source for electrical separation in conducting locations with restricted movement shall be situated outside the conducting location unless it is part of the fixed installation within the location.,Isolating transformer/source positioned outside conducting restricted location,Confined/Restricted,MEDIUM
CV-001,708:51-2.2.1.101,CONDITION,Equipment in caravan/camping parks shall be selected with a degree of protection of at least IPX4 to protect against water splashes (AD4).,IPX4 rated equipment in caravan/camping park,Caravan,HIGH
CV-002,708:55.101.1,CONDITION,Every socket-outlet in caravan parks shall comply with IEC 60309-2 and meet IP44 or such protection shall be provided by an enclosure. Socket-outlets shall be interlocked.,IEC 60309-2 compliant interlocked IP44 socket-outlet in caravan park,Caravan,HIGH
CV-003,708:55.101.3,CONDITION,No more than four socket-outlets shall be grouped together in any one enclosure in caravan parks to maintain IP degree when in use.,Maximum 4 socket-outlets per enclosure in caravan park,Caravan,MEDIUM
CV-004,708:55.101.6,POSITION,The lowest part of any socket-outlet in caravan/camping parks shall be placed at a height between 0.5m and 1.5m from the ground.,Socket-outlet height 0.5m-1.5m from ground in caravan/camping park,Caravan,HIGH
CV-005,708:52-1.7.103,CONDITION,Every overhead conductor in caravan/camping parks shall be insulated. Overhead conductors shall be at a height above ground of not less than 6m in vehicle areas and 3.5m in other areas.,Insulated overhead conductor at minimum 6m/3.5m height in caravan park,Caravan,HIGH
MR-001,709:51-2.2.1.1,CONDITION,"Equipment installed on or above a jetty/wharf/pier/pontoon in marinas shall be selected: IPX4 for water splashes, IPX5 for water jets, IPX6 for water waves.",IPX4/IPX5/IPX6 rated equipment on marina jetty/pontoon,Marina,HIGH
MR-002,709:55-6.6.1,CONDITION,"Every socket-outlet in marinas (up to 63A) shall comply with IEC 60309-2 and meet IP44, or IPX5/IPX6 where AD5/AD6 applies.",IEC 60309-2 compliant IP44 socket-outlet in marina,Marina,HIGH
MR-003,709:55-6.6.6,POSITION,Every socket-outlet on fixed jetties/piers and floating pontoons in marinas shall be placed to avoid the effect of splashing and/or submersion.,Socket-outlet positioned to avoid splashing/submersion on marina jetty/pontoon,Marina,HIGH
MR-004,709:52-1.8.3,CONDITION,All overhead conductors in marinas shall be insulated. Overhead conductors shall be at a height above ground of not less than 6m in vehicle areas and 3.5m in other areas.,Insulated overhead conductor at minimum 6m/3.5m height in marina,Marina,MEDIUM
MR-005,709:55-6.6.3,CONDITION,No more than four socket-outlets shall be grouped together in any one enclosure in marinas.,Maximum 4 socket-outlets per enclosure in marina,Marina,MEDIUM
EX-001,711:51.101,CONDITION,"Control and protective switchgear in exhibitions shall be placed in closed cabinets which can only be opened by the use of a key or a tool, except for parts designed to be operated by ordinary persons.",Key/tool-locked cabinet for switchgear in exhibition/show,Exhibition,HIGH
EX-002,711:42-2.4.101,SPACING,"Lighting equipment with high temperature surfaces (incandescent lamps, spotlights, projectors) shall be suitably guarded and arranged well away from combustible material to prevent contact.",High-temperature lighting guarded and spaced from combustible material in exhibition,Exhibition,HIGH
EX-003,711:55-9.3.101,POSITION,Luminaires mounted below 2.5m (arm's reach) from floor level in exhibitions shall be firmly fixed and sited or guarded to prevent risk of injury or ignition of materials.,Firmly fixed/guarded luminaire below 2.5m in exhibition,Exhibition,HIGH
EX-004,711:55-9.3.103.4,LABEL,"A separate circuit shall supply high-voltage signs/lamps in exhibitions, controlled by an emergency switch that is easily visible, accessible and marked.","Marked, visible, accessible emergency switch for high-voltage signage in exhibition",Exhibition,HIGH
EX-005,711:52.101,CONDITION,Flexible cables in exhibitions shall not be laid in areas accessible to the public unless protected against mechanical damage.,Mechanical protection for flexible cables in public areas of exhibition,Exhibition,MEDIUM
EX-006,711:52-6.101,CONDITION,Joints in cables in exhibitions shall be made using connectors or in an enclosure with at least IP4X or IPXXD degree of protection.,IP4X/IPXXD enclosure for cable joints in exhibition,Exhibition,MEDIUM
EX-007,711:53-6.2.1.1,LABEL,Every separate temporary structure in exhibitions shall be provided with its own readily accessible and properly identifiable means of isolation.,"Readily accessible, identifiable isolation device for each exhibition stand/structure",Exhibition,HIGH
OL-001,714:A.41,CONDITION,Enclosures of luminaires and lighting installations in external lighting shall prevent access to live parts without the use of a tool or key. All doors shall be lockable with a key or tool regardless of height.,Tool/key-locked enclosure doors for outdoor luminaires,Outdoor Lighting,HIGH
OL-002,714:A.41,CONDITION,"For outdoor luminaires at a height of less than 2.8m above ground, access to the light source shall only be possible after removing a barrier or enclosure requiring the use of a tool.",Tool-removable barrier for light source access on outdoor luminaire below 2.8m,Outdoor Lighting,HIGH
OL-003,714:51-2.2.5,CONDITION,Electrical equipment in external lighting installations shall have at least IP33. Equipment mounted externally on lighting columns: at least IP44. Lanterns: at least IP54.,IP33/IP44/IP54 rated equipment/lanterns in outdoor lighting installation,Outdoor Lighting,HIGH
OL-004,714:53-6.2.1.1,PRESENCE,Every circuit in external lighting installations shall be capable of being individually isolated from each of the live supply conductors.,Individual circuit isolation device for each outdoor lighting circuit,Outdoor Lighting,MEDIUM
EL-001,715:52-1.1,ABSENCE,"Metallic structural parts of buildings (e.g. pipe systems, parts of furniture) shall not be used as live conductors in ELV lighting installations.",Absence of building structural parts used as live conductors in ELV lighting,Extra-low Voltage,HIGH
EL-002,715:52-1.106,CONDITION,Bare conductors in ELV lighting (25V ac or less or 60V dc or less) shall not be placed directly on combustible material. At least one conductor and its terminals shall be insulated between transformer and protective device.,Bare ELV conductors not on combustible material; insulated conductor between transformer and protective device,Extra-low Voltage,MEDIUM
EL-003,715:52-1.107,CONDITION,"Suspension devices for ELV luminaires shall carry 5x the mass of luminaires, but not less than 5kg. Insulation piercing connectors and counterweight termination wires hung over suspended conductors shall not be used.","Adequate suspension device for ELV luminaire (5x mass, min 5kg), no piercing connectors",Extra-low Voltage,MEDIUM
EL-004,715:52-1.107,CONDITION,Suspended systems with bare conductors in ELV lighting shall be fixed to walls or ceilings by insulated fixing means and shall be continuously accessible throughout the route.,Insulated fixings and continuous accessibility for suspended bare ELV conductors,Extra-low Voltage,MEDIUM
EL-005,715:53-0.3.104,LABEL,"If the identification of a protective device for a circuit in ELV lighting is not immediately evident, a sign or diagram (label) close to the protective device shall identify the circuit and its purpose.",Identification label/diagram near protective device for ELV lighting circuit,Extra-low Voltage,MEDIUM
MO-001,717:51-4.1,LABEL,"A permanent notice of durable material shall be fixed to the mobile/transportable unit in a prominent position, preferably adjacent to the supply inlet connector, stating the type of supply, voltage rating, number of phases, earthing arrangement, and maximum power.",Permanent rating notice adjacent to supply inlet connector on mobile unit,Mobile,HIGH
MO-002,717:51-4.1,LABEL,"For socket-outlets individually protected by electrical separation in mobile units, a durable indication shall be located adjacent to these socket-outlets stating that only one item of equipment shall be connected to each socket-outlet.",Warning label at electrically separated socket-outlets: 'one item of equipment only',Mobile,MEDIUM
MO-003,717:55-6.5.1.1,CONDITION,Plugs on mobile/transportable units shall have an enclosure of insulating material. Plugs and socket-outlets located outside shall afford IP44. Appliance inlets shall provide at least IP55.,"Insulating plug enclosure, IP44 socket-outlets, IP55 appliance inlets on mobile unit",Mobile,HIGH
MO-004,717:52-1.11,CONDITION,The flexible cable connecting a mobile unit to supply shall enter the unit by an insulating inlet minimizing insulation damage risk. The cable sheath shall be firmly gripped by the cable gland or anchored to prevent stress on the termination.,Insulating cable inlet and firmly gripped/anchored cable gland on mobile unit,Mobile,HIGH
MO-005,717:31-2.2.1,ABSENCE,The use of the TN-C system is not permitted inside any mobile or transportable unit.,Absence of TN-C system inside mobile/transportable unit,Mobile,MEDIUM
MO-006,717:55-6.5.1.1,POSITION,The plug part for connecting the mobile/transportable unit to the supply shall be situated on the unit.,Supply plug situated on the mobile/transportable unit itself,Mobile,MEDIUM
